ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
27,5.6e-09,0.215706,68921,1e+08,-1.14473e-19,-1.14473e-19,-1.14473e-19,7.95923e-19,9261,1.25e+07,1.34008e-19,1.34008e-19,1.34008e-19,2.51579e-15,8.96583e-12,8.96834e-12
28,5.8e-09,0.221243,68921,1e+08,-1.1871e-19,-1.1871e-19,-1.1871e-19,8.55957e-19,9261,1.25e+07,1.38969e-19,1.38969e-19,1.38969e-19,2.70547e-15,8.96564e-12,8.96834e-12
29,6e-09,0.226654,68921,1e+08,-1.22948e-19,-1.22948e-19,-1.22948e-19,9.18173e-19,9261,1.25e+07,1.43929e-19,1.43929e-19,1.43929e-19,2.90203e-15,8.96544e-12,8.96834e-12
30,6.2e-09,0.231845,68921,1e+08,-1.27185e-19,-1.27185e-19,-1.27185e-19,9.82569e-19,9261,1.25e+07,1.48889e-19,1.48889e-19,1.48889e-19,3.10547e-15,8.96524e-12,8.96834e-12
31,6.4e-09,0.23707,68921,1e+08,-1.31421e-19,-1.31421e-19,-1.31421e-19,1.04915e-18,9261,1.25e+07,1.53849e-19,1.53849e-19,1.53849e-19,3.31579e-15,8.96502e-12,8.96834e-12
32,6.6e-09,0.242242,68921,1e+08,-1.35658e-19,-1.35658e-19,-1.35658e-19,1.1179e-18,9261,1.25e+07,1.58808e-19,1.58808e-19,1.58808e-19,3.53298e-15,8.96481e-12,8.96834e-12
33,6.8e-09,0.247417,68921,1e+08,-1.39894e-19,-1.39894e-19,-1.39894e-19,1.18884e-18,9261,1.25e+07,1.63767e-19,1.63767e-19,1.63767e-19,3.75704e-15,8.96458e-12,8.96834e-12
34,7e-09,0.252624,68921,1e+08,-1.4413e-19,-1.4413e-19,-1.4413e-19,1.26196e-18,9261,1.25e+07,1.68725e-19,1.68725e-19,1.68725e-19,3.98796e-15,8.96435e-12,8.96834e-12
35,7.2e-09,0.257836,68921,1e+08,-1.48365e-19,-1.48365e-19,-1.48365e-19,1.33725e-18,9261,1.25e+07,1.73684e-19,1.73684e-19,1.73684e-19,4.22576e-15,8.96411e-12,8.96834e-12
36,7.4e-09,0.263024,68921,1e+08,-1.52601e-19,-1.52601e-19,-1.526e-19,1.41473e-18,9261,1.25e+07,1.78641e-19,1.78641e-19,1.78641e-19,4.47042e-15,8.96387e-12,8.96834e-12
37,7.6e-09,0.268192,68921,1e+08,-1.56835e-19,-1.56835e-19,-1.56835e-19,1.49438e-18,9261,1.25e+07,1.83599e-19,1.83599e-19,1.83599e-19,4.72194e-15,8.96362e-12,8.96834e-12
38,7.8e-09,0.273406,68921,1e+08,-1.6107e-19,-1.6107e-19,-1.6107e-19,1.57622e-18,9261,1.25e+07,1.88556e-19,1.88556e-19,1.88556e-19,4.98032e-15,8.96336e-12,8.96834e-12
