ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
3184,6.37e-07,20.1034,68921,1e+08,4.94729e-19,4.94729e-19,4.94733e-19,8.80802e-15,9261,1.25e+07,-5.96439e-19,-5.96439e-19,-5.96439e-19,1.98659e-13,8.75845e-12,8.96592e-12
3185,6.372e-07,20.1096,68921,1e+08,4.90775e-19,4.90775e-19,4.90779e-19,8.81379e-15,9261,1.25e+07,-5.91834e-19,-5.91834e-19,-5.91833e-19,1.98011e-13,8.75909e-12,8.96591e-12
3186,6.374e-07,20.1157,68921,1e+08,4.86819e-19,4.86819e-19,4.86823e-19,8.81958e-15,9261,1.25e+07,-5.87227e-19,-5.87227e-19,-5.87226e-19,1.97368e-13,8.75972e-12,8.96591e-12
3187,6.376e-07,20.1219,68921,1e+08,4.82862e-19,4.82862e-19,4.82866e-19,8.82536e-15,9261,1.25e+07,-5.82618e-19,-5.82618e-19,-5.82617e-19,1.9673e-13,8.76035e-12,8.9659e-12
3188,6.378e-07,20.128,68921,1e+08,4.78903e-19,4.78903e-19,4.78907e-19,8.83115e-15,9261,1.25e+07,-5.78008e-19,-5.78008e-19,-5.78007e-19,1.96097e-13,8.76097e-12,8.9659e-12
3189,6.38e-07,20.1363,68921,1e+08,4.74943e-19,4.74943e-19,4.74947e-19,8.83694e-15,9261,1.25e+07,-5.73396e-19,-5.73396e-19,-5.73395e-19,1.95469e-13,8.76159e-12,8.96589e-12
3190,6.382e-07,20.1425,68921,1e+08,4.70982e-19,4.70982e-19,4.70986e-19,8.84273e-15,9261,1.25e+07,-5.68782e-19,-5.68782e-19,-5.68782e-19,1.94846e-13,8.7622e-12,8.96589e-12
3191,6.384e-07,20.1487,68921,1e+08,4.6702e-19,4.6702e-19,4.67023e-19,8.84852e-15,9261,1.25e+07,-5.64167e-19,-5.64167e-19,-5.64167e-19,1.94228e-13,8.76281e-12,8.96588e-12
3192,6.386e-07,20.1548,68921,1e+08,4.63056e-19,4.63056e-19,4.6306e-19,8.85432e-15,9261,1.25e+07,-5.59551e-19,-5.59551e-19,-5.5955e-19,1.93615e-13,8.76341e-12,8.96588e-12
3193,6.388e-07,20.161,68921,1e+08,4.59091e-19,4.59091e-19,4.59094e-19,8.86012e-15,9261,1.25e+07,-5.54932e-19,-5.54932e-19,-5.54932e-19,1.93007e-13,8.76401e-12,8.96587e-12
3194,6.39e-07,20.1677,68921,1e+08,4.55124e-19,4.55124e-19,4.55128e-19,8.86592e-15,9261,1.25e+07,-5.50313e-19,-5.50313e-19,-5.50312e-19,1.92404e-13,8.7646e-12,8.96587e-12
3195,6.392e-07,20.1738,68921,1e+08,4.51156e-19,4.51156e-19,4.5116e-19,8.87172e-15,9261,1.25e+07,-5.45692e-19,-5.45692e-19,-5.45691e-19,1.91806e-13,8.76518e-12,8.96586e-12
3196,6.394e-07,20.1806,68921,1e+08,4.47187e-19,4.47187e-19,4.47191e-19,8.87753e-15,9261,1.25e+07,-5.41069e-19,-5.41069e-19,-5.41069e-19,1.91213e-13,8.76577e-12,8.96586e-12
3197,6.396e-07,20.1867,68921,1e+08,4.43217e-19,4.43217e-19,4.43221e-19,8.88334e-15,9261,1.25e+07,-5.36445e-19,-5.36445e-19,-5.36445e-19,1.90625e-13,8.76634e-12,8.96585e-12
3198,6.398e-07,20.1928,68921,1e+08,4.39246e-19,4.39246e-19,4.39249e-19,8.88915e-15,9261,1.25e+07,-5.3182e-19,-5.3182e-19,-5.31819e-19,1.90043e-13,8.76691e-12,8.96584e-12
3199,6.4e-07,20.1989,68921,1e+08,4.35273e-19,4.35273e-19,4.35277e-19,8.89496e-15,9261,1.25e+07,-5.27193e-19,-5.27193e-19,-5.27192e-19,1.89465e-13,8.76748e-12,8.96584e-12
3200,6.402e-07,20.205,68921,1e+08,4.31299e-19,4.31299e-19,4.31303e-19,8.90078e-15,9261,1.25e+07,-5.22564e-19,-5.22564e-19,-5.22564e-19,1.88892e-13,8.76804e-12,8.96583e-12
3201,6.404e-07,20.2445,68921,1e+08,4.27324e-19,4.27324e-19,4.27328e-19,8.90659e-15,9261,1.25e+07,-5.17935e-19,-5.17935e-19,-5.17934e-19,1.88325e-13,8.76859e-12,8.96583e-12
3202,6.406e-07,20.2506,68921,1e+08,4.23347e-19,4.23347e-19,4.23351e-19,8.91242e-15,9261,1.25e+07,-5.13303e-19,-5.13303e-19,-5.13303e-19,1.87762e-13,8.76915e-12,8.96582e-12
3203,6.408e-07,20.257,68921,1e+08,4.1937e-19,4.1937e-19,4.19374e-19,8.91824e-15,9261,1.25e+07,-5.08671e-19,-5.08671e-19,-5.0867e-19,1.87205e-13,8.76969e-12,8.96581e-12
3204,6.41e-07,20.2631,68921,1e+08,4.15391e-19,4.15391e-19,4.15395e-19,8.92406e-15,9261,1.25e+07,-5.04037e-19,-5.04037e-19,-5.04036e-19,1.86653e-13,8.77023e-12,8.96581e-12
3205,6.412e-07,20.2693,68921,1e+08,4.11411e-19,4.11411e-19,4.11415e-19,8.92989e-15,9261,1.25e+07,-4.99402e-19,-4.99402e-19,-4.99401e-19,1.86106e-13,8.77077e-12,8.9658e-12
3206,6.414e-07,20.2754,68921,1e+08,4.0743e-19,4.0743e-19,4.07434e-19,8.93572e-15,9261,1.25e+07,-4.94765e-19,-4.94765e-19,-4.94765e-19,1.85564e-13,8.7713e-12,8.9658e-12
3207,6.416e-07,20.2815,68921,1e+08,4.03448e-19,4.03448e-19,4.03452e-19,8.94156e-15,9261,1.25e+07,-4.90127e-19,-4.90127e-19,-4.90127e-19,1.85027e-13,8.77182e-12,8.96579e-12
3208,6.418e-07,20.2877,68921,1e+08,3.99465e-19,3.99465e-19,3.99469e-19,8.94739e-15,9261,1.25e+07,-4.85488e-19,-4.85488e-19,-4.85487e-19,1.84495e-13,8.77235e-12,8.96579e-12
3209,6.42e-07,20.2939,68921,1e+08,3.95481e-19,3.95481e-19,3.95484e-19,8.95323e-15,9261,1.25e+07,-4.80847e-19,-4.80847e-19,-4.80847e-19,1.83969e-13,8.77286e-12,8.96578e-12
3210,6.422e-07,20.3023,68921,1e+08,3.91495e-19,3.91495e-19,3.91499e-19,8.95907e-15,9261,1.25e+07,-4.76206e-19,-4.76206e-19,-4.76205e-19,1.83448e-13,8.77337e-12,8.96578e-12
3211,6.424e-07,20.3091,68921,1e+08,3.87509e-19,3.87509e-19,3.87512e-19,8.96491e-15,9261,1.25e+07,-4.71563e-19,-4.71563e-19,-4.71562e-19,1.82932e-13,8.77388e-12,8.96577e-12
3212,6.426e-07,20.3153,68921,1e+08,3.83521e-19,3.83521e-19,3.83525e-19,8.97076e-15,9261,1.25e+07,-4.66918e-19,-4.66918e-19,-4.66918e-19,1.82421e-13,8.77438e-12,8.96577e-12
3213,6.428e-07,20.3214,68921,1e+08,3.79532e-19,3.79532e-19,3.79536e-19,8.9766e-15,9261,1.25e+07,-4.62273e-19,-4.62273e-19,-4.62272e-19,1.81915e-13,8.77487e-12,8.96576e-12
3214,6.43e-07,20.3275,68921,1e+08,3.75542e-19,3.75542e-19,3.75546e-19,8.98245e-15,9261,1.25e+07,-4.57626e-19,-4.57626e-19,-4.57625e-19,1.81415e-13,8.77536e-12,8.96576e-12
3215,6.432e-07,20.3335,68921,1e+08,3.71552e-19,3.71552e-19,3.71556e-19,8.98831e-15,9261,1.25e+07,-4.52978e-19,-4.52978e-19,-4.52977e-19,1.80919e-13,8.77584e-12,8.96575e-12
3216,6.434e-07,20.3403,68921,1e+08,3.6756e-19,3.6756e-19,3.67564e-19,8.99416e-15,9261,1.25e+07,-4.48328e-19,-4.48328e-19,-4.48328e-19,1.80429e-13,8.77632e-12,8.96575e-12
3217,6.436e-07,20.3463,68921,1e+08,3.63567e-19,3.63567e-19,3.63571e-19,9.00002e-15,9261,1.25e+07,-4.43678e-19,-4.43678e-19,-4.43677e-19,1.79945e-13,8.7768e-12,8.96574e-12
3218,6.438e-07,20.3548,68921,1e+08,3.59573e-19,3.59573e-19,3.59577e-19,9.00588e-15,9261,1.25e+07,-4.39026e-19,-4.39026e-19,-4.39026e-19,1.79465e-13,8.77726e-12,8.96573e-12
3219,6.44e-07,20.3609,68921,1e+08,3.55578e-19,3.55578e-19,3.55582e-19,9.01174e-15,9261,1.25e+07,-4.34373e-19,-4.34373e-19,-4.34373e-19,1.78991e-13,8.77773e-12,8.96573e-12
3220,6.442e-07,20.3671,68921,1e+08,3.51583e-19,3.51583e-19,3.51586e-19,9.0176e-15,9261,1.25e+07,-4.29719e-19,-4.29719e-19,-4.29719e-19,1.78522e-13,8.77818e-12,8.96572e-12
3221,6.444e-07,20.3733,68921,1e+08,3.47586e-19,3.47586e-19,3.4759e-19,9.02347e-15,9261,1.25e+07,-4.25064e-19,-4.25064e-19,-4.25064e-19,1.78058e-13,8.77864e-12,8.96572e-12
3222,6.446e-07,20.3797,68921,1e+08,3.43588e-19,3.43588e-19,3.43592e-19,9.02934e-15,9261,1.25e+07,-4.20408e-19,-4.20408e-19,-4.20408e-19,1.776e-13,8.77909e-12,8.96572e-12
3223,6.448e-07,20.3863,68921,1e+08,3.39589e-19,3.39589e-19,3.39593e-19,9.03521e-15,9261,1.25e+07,-4.15751e-19,-4.15751e-19,-4.1575e-19,1.77147e-13,8.77953e-12,8.96571e-12
3224,6.45e-07,20.3924,68921,1e+08,3.3559e-19,3.3559e-19,3.35594e-19,9.04108e-15,9261,1.25e+07,-4.11092e-19,-4.11092e-19,-4.11092e-19,1.76699e-13,8.77997e-12,8.96571e-12
3225,6.452e-07,20.3986,68921,1e+08,3.31589e-19,3.31589e-19,3.31593e-19,9.04696e-15,9261,1.25e+07,-4.06433e-19,-4.06433e-19,-4.06432e-19,1.76256e-13,8.7804e-12,8.9657e-12
3226,6.454e-07,20.4053,68921,1e+08,3.27588e-19,3.27588e-19,3.27592e-19,9.05283e-15,9261,1.25e+07,-4.01772e-19,-4.01772e-19,-4.01772e-19,1.75819e-13,8.78083e-12,8.9657e-12
3227,6.456e-07,20.411,68921,1e+08,3.23585e-19,3.23585e-19,3.23589e-19,9.05872e-15,9261,1.25e+07,-3.97111e-19,-3.97111e-19,-3.9711e-19,1.75387e-13,8.78125e-12,8.96569e-12
3228,6.458e-07,20.417,68921,1e+08,3.19582e-19,3.19582e-19,3.19586e-19,9.0646e-15,9261,1.25e+07,-3.92448e-19,-3.92448e-19,-3.92448e-19,1.74961e-13,8.78166e-12,8.96569e-12
3229,6.46e-07,20.4226,68921,1e+08,3.15578e-19,3.15578e-19,3.15582e-19,9.07048e-15,9261,1.25e+07,-3.87784e-19,-3.87784e-19,-3.87784e-19,1.74539e-13,8.78208e-12,8.96569e-12
3230,6.462e-07,20.4287,68921,1e+08,3.11573e-19,3.11573e-19,3.11577e-19,9.07637e-15,9261,1.25e+07,-3.8312e-19,-3.8312e-19,-3.83119e-19,1.74123e-13,8.78248e-12,8.96568e-12
3231,6.464e-07,20.4345,68921,1e+08,3.07567e-19,3.07567e-19,3.07571e-19,9.08226e-15,9261,1.25e+07,-3.78454e-19,-3.78454e-19,-3.78453e-19,1.73713e-13,8.78288e-12,8.96568e-12
3232,6.466e-07,20.4403,68921,1e+08,3.03561e-19,3.03561e-19,3.03564e-19,9.08815e-15,9261,1.25e+07,-3.73787e-19,-3.73787e-19,-3.73787e-19,1.73308e-13,8.78328e-12,8.96567e-12
3233,6.468e-07,20.4459,68921,1e+08,2.99553e-19,2.99553e-19,2.99557e-19,9.09405e-15,9261,1.25e+07,-3.6912e-19,-3.6912e-19,-3.69119e-19,1.72908e-13,8.78367e-12,8.96567e-12
3234,6.47e-07,20.4519,68921,1e+08,2.95545e-19,2.95545e-19,2.95549e-19,9.09994e-15,9261,1.25e+07,-3.64451e-19,-3.64451e-19,-3.64451e-19,1.72513e-13,8.78405e-12,8.96566e-12
3235,6.472e-07,20.46,68921,1e+08,2.91536e-19,2.91536e-19,2.91539e-19,9.10584e-15,9261,1.25e+07,-3.59782e-19,-3.59782e-19,-3.59781e-19,1.72124e-13,8.78443e-12,8.96566e-12
3236,6.474e-07,20.4656,68921,1e+08,2.87526e-19,2.87526e-19,2.8753e-19,9.11174e-15,9261,1.25e+07,-3.55111e-19,-3.55111e-19,-3.55111e-19,1.71741e-13,8.7848e-12,8.96566e-12
3237,6.476e-07,20.4715,68921,1e+08,2.83515e-19,2.83515e-19,2.83519e-19,9.11765e-15,9261,1.25e+07,-3.5044e-19,-3.5044e-19,-3.50439e-19,1.71363e-13,8.78517e-12,8.96565e-12
3238,6.478e-07,20.4774,68921,1e+08,2.79504e-19,2.79504e-19,2.79507e-19,9.12355e-15,9261,1.25e+07,-3.45767e-19,-3.45767e-19,-3.45767e-19,1.7099e-13,8.78553e-12,8.96565e-12
3239,6.48e-07,20.4831,68921,1e+08,2.75491e-19,2.75491e-19,2.75495e-19,9.12946e-15,9261,1.25e+07,-3.41094e-19,-3.41094e-19,-3.41094e-19,1.70622e-13,8.78589e-12,8.96564e-12
3240,6.482e-07,20.4889,68921,1e+08,2.71478e-19,2.71478e-19,2.71482e-19,9.13537e-15,9261,1.25e+07,-3.3642e-19,-3.3642e-19,-3.3642e-19,1.7026e-13,8.78624e-12,8.96564e-12
3241,6.484e-07,20.4945,68921,1e+08,2.67465e-19,2.67465e-19,2.67469e-19,9.14129e-15,9261,1.25e+07,-3.31745e-19,-3.31745e-19,-3.31745e-19,1.69904e-13,8.78659e-12,8.96563e-12
3242,6.486e-07,20.5003,68921,1e+08,2.6345e-19,2.6345e-19,2.63454e-19,9.1472e-15,9261,1.25e+07,-3.27069e-19,-3.27069e-19,-3.27069e-19,1.69553e-13,8.78693e-12,8.96563e-12
3243,6.488e-07,20.5061,68921,1e+08,2.59435e-19,2.59435e-19,2.59439e-19,9.15312e-15,9261,1.25e+07,-3.22393e-19,-3.22393e-19,-3.22392e-19,1.69207e-13,8.78726e-12,8.96562e-12
3244,6.49e-07,20.512,68921,1e+08,2.55419e-19,2.55419e-19,2.55423e-19,9.15904e-15,9261,1.25e+07,-3.17715e-19,-3.17715e-19,-3.17715e-19,1.68867e-13,8.78759e-12,8.96562e-12
3245,6.492e-07,20.5179,68921,1e+08,2.51403e-19,2.51403e-19,2.51407e-19,9.16496e-15,9261,1.25e+07,-3.13037e-19,-3.13037e-19,-3.13037e-19,1.68532e-13,8.78791e-12,8.96561e-12
3246,6.494e-07,20.524,68921,1e+08,2.47386e-19,2.47386e-19,2.4739e-19,9.17089e-15,9261,1.25e+07,-3.08358e-19,-3.08358e-19,-3.08358e-19,1.68203e-13,8.78823e-12,8.96561e-12
3247,6.496e-07,20.5296,68921,1e+08,2.43368e-19,2.43368e-19,2.43372e-19,9.17681e-15,9261,1.25e+07,-3.03678e-19,-3.03678e-19,-3.03678e-19,1.6788e-13,8.78855e-12,8.9656e-12
3248,6.498e-07,20.5377,68921,1e+08,2.3935e-19,2.3935e-19,2.39353e-19,9.18274e-15,9261,1.25e+07,-2.98998e-19,-2.98998e-19,-2.98997e-19,1.67561e-13,8.78886e-12,8.9656e-12
3249,6.5e-07,20.5436,68921,1e+08,2.3533e-19,2.3533e-19,2.35334e-19,9.18867e-15,9261,1.25e+07,-2.94317e-19,-2.94317e-19,-2.94316e-19,1.67249e-13,8.78916e-12,8.9656e-12
3250,6.502e-07,20.5494,68921,1e+08,2.31311e-19,2.31311e-19,2.31315e-19,9.19461e-15,9261,1.25e+07,-2.89635e-19,-2.89635e-19,-2.89634e-19,1.66942e-13,8.78946e-12,8.9656e-12
3251,6.504e-07,20.5556,68921,1e+08,2.2729e-19,2.2729e-19,2.27294e-19,9.20054e-15,9261,1.25e+07,-2.84952e-19,-2.84952e-19,-2.84951e-19,1.6664e-13,8.78975e-12,8.96559e-12
3252,6.506e-07,20.5615,68921,1e+08,2.23269e-19,2.23269e-19,2.23273e-19,9.20648e-15,9261,1.25e+07,-2.80268e-19,-2.80268e-19,-2.80268e-19,1.66344e-13,8.79004e-12,8.96559e-12
3253,6.508e-07,20.5681,68921,1e+08,2.19248e-19,2.19248e-19,2.19252e-19,9.21242e-15,9261,1.25e+07,-2.75584e-19,-2.75584e-19,-2.75584e-19,1.66053e-13,8.79032e-12,8.96559e-12
3254,6.51e-07,20.5742,68921,1e+08,2.15226e-19,2.15226e-19,2.1523e-19,9.21836e-15,9261,1.25e+07,-2.709e-19,-2.709e-19,-2.70899e-19,1.65768e-13,8.7906e-12,8.96558e-12
3255,6.512e-07,20.5799,68921,1e+08,2.11203e-19,2.11203e-19,2.11207e-19,9.22431e-15,9261,1.25e+07,-2.66214e-19,-2.66214e-19,-2.66214e-19,1.65489e-13,8.79087e-12,8.96558e-12
3256,6.514e-07,20.5859,68921,1e+08,2.0718e-19,2.0718e-19,2.07184e-19,9.23025e-15,9261,1.25e+07,-2.61528e-19,-2.61528e-19,-2.61527e-19,1.65215e-13,8.79113e-12,8.96558e-12
3257,6.516e-07,20.5925,68921,1e+08,2.03156e-19,2.03156e-19,2.0316e-19,9.2362e-15,9261,1.25e+07,-2.56841e-19,-2.56841e-19,-2.56841e-19,1.64947e-13,8.79139e-12,8.96558e-12
3258,6.518e-07,20.5986,68921,1e+08,1.99132e-19,1.99132e-19,1.99136e-19,9.24215e-15,9261,1.25e+07,-2.52154e-19,-2.52154e-19,-2.52153e-19,1.64684e-13,8.79165e-12,8.96557e-12
3259,6.52e-07,20.6051,68921,1e+08,1.95107e-19,1.95107e-19,1.95111e-19,9.24811e-15,9261,1.25e+07,-2.47466e-19,-2.47466e-19,-2.47465e-19,1.64427e-13,8.7919e-12,8.96557e-12
3260,6.522e-07,20.6108,68921,1e+08,1.91082e-19,1.91082e-19,1.91086e-19,9.25406e-15,9261,1.25e+07,-2.42777e-19,-2.42777e-19,-2.42777e-19,1.64175e-13,8.79214e-12,8.96557e-12
3261,6.524e-07,20.6166,68921,1e+08,1.87056e-19,1.87056e-19,1.8706e-19,9.26002e-15,9261,1.25e+07,-2.38088e-19,-2.38088e-19,-2.38087e-19,1.63929e-13,8.79238e-12,8.96557e-12
3262,6.526e-07,20.6227,68921,1e+08,1.8303e-19,1.8303e-19,1.83034e-19,9.26598e-15,9261,1.25e+07,-2.33398e-19,-2.33398e-19,-2.33398e-19,1.63689e-13,8.79261e-12,8.96557e-12
3263,6.528e-07,20.6285,68921,1e+08,1.79003e-19,1.79003e-19,1.79007e-19,9.27194e-15,9261,1.25e+07,-2.28708e-19,-2.28708e-19,-2.28707e-19,1.63454e-13,8.79284e-12,8.96556e-12
3264,6.53e-07,20.6348,68921,1e+08,1.74976e-19,1.74976e-19,1.7498e-19,9.27791e-15,9261,1.25e+07,-2.24017e-19,-2.24017e-19,-2.24017e-19,1.63225e-13,8.79306e-12,8.96556e-12
3265,6.532e-07,20.6409,68921,1e+08,1.70948e-19,1.70948e-19,1.70952e-19,9.28388e-15,9261,1.25e+07,-2.19326e-19,-2.19326e-19,-2.19325e-19,1.63001e-13,8.79328e-12,8.96556e-12
3266,6.534e-07,20.6467,68921,1e+08,1.6692e-19,1.6692e-19,1.66924e-19,9.28984e-15,9261,1.25e+07,-2.14634e-19,-2.14634e-19,-2.14633e-19,1.62783e-13,8.79349e-12,8.96556e-12
3267,6.536e-07,20.6526,68921,1e+08,1.62892e-19,1.62892e-19,1.62896e-19,9.29582e-15,9261,1.25e+07,-2.09941e-19,-2.09941e-19,-2.09941e-19,1.62571e-13,8.7937e-12,8.96556e-12
3268,6.538e-07,20.6583,68921,1e+08,1.58863e-19,1.58863e-19,1.58867e-19,9.30179e-15,9261,1.25e+07,-2.05249e-19,-2.05249e-19,-2.05248e-19,1.62364e-13,8.7939e-12,8.96556e-12
3269,6.54e-07,20.6641,68921,1e+08,1.54834e-19,1.54834e-19,1.54838e-19,9.30777e-15,9261,1.25e+07,-2.00555e-19,-2.00555e-19,-2.00555e-19,1.62163e-13,8.79409e-12,8.96556e-12
3270,6.542e-07,20.6703,68921,1e+08,1.50804e-19,1.50804e-19,1.50808e-19,9.31374e-15,9261,1.25e+07,-1.95861e-19,-1.95861e-19,-1.95861e-19,1.61967e-13,8.79428e-12,8.96556e-12
3271,6.544e-07,20.6767,68921,1e+08,1.46774e-19,1.46774e-19,1.46778e-19,9.31972e-15,9261,1.25e+07,-1.91167e-19,-1.91167e-19,-1.91167e-19,1.61777e-13,8.79447e-12,8.96556e-12
3272,6.546e-07,20.6829,68921,1e+08,1.42743e-19,1.42743e-19,1.42747e-19,9.32571e-15,9261,1.25e+07,-1.86473e-19,-1.86473e-19,-1.86472e-19,1.61593e-13,8.79464e-12,8.96556e-12
3273,6.548e-07,20.6891,68921,1e+08,1.38713e-19,1.38713e-19,1.38717e-19,9.33169e-15,9261,1.25e+07,-1.81777e-19,-1.81777e-19,-1.81777e-19,1.61414e-13,8.79482e-12,8.96556e-12
3274,6.55e-07,20.695,68921,1e+08,1.34682e-19,1.34682e-19,1.34686e-19,9.33768e-15,9261,1.25e+07,-1.77082e-19,-1.77082e-19,-1.77081e-19,1.61242e-13,8.79499e-12,8.96556e-12
3275,6.552e-07,20.7007,68921,1e+08,1.3065e-19,1.3065e-19,1.30654e-19,9.34367e-15,9261,1.25e+07,-1.72386e-19,-1.72386e-19,-1.72386e-19,1.61074e-13,8.79515e-12,8.96556e-12
3276,6.554e-07,20.7064,68921,1e+08,1.26619e-19,1.26619e-19,1.26622e-19,9.34966e-15,9261,1.25e+07,-1.6769e-19,-1.6769e-19,-1.67689e-19,1.60913e-13,8.7953e-12,8.96556e-12
3277,6.556e-07,20.7121,68921,1e+08,1.22587e-19,1.22587e-19,1.2259e-19,9.35565e-15,9261,1.25e+07,-1.62993e-19,-1.62993e-19,-1.62993e-19,1.60757e-13,8.79545e-12,8.96556e-12
3278,6.558e-07,20.7179,68921,1e+08,1.18554e-19,1.18554e-19,1.18558e-19,9.36164e-15,9261,1.25e+07,-1.58296e-19,-1.58296e-19,-1.58296e-19,1.60607e-13,8.7956e-12,8.96556e-12
3279,6.56e-07,20.7261,68921,1e+08,1.14522e-19,1.14522e-19,1.14526e-19,9.36764e-15,9261,1.25e+07,-1.53599e-19,-1.53599e-19,-1.53599e-19,1.60462e-13,8.79573e-12,8.96556e-12
3280,6.562e-07,20.7325,68921,1e+08,1.10489e-19,1.10489e-19,1.10493e-19,9.37364e-15,9261,1.25e+07,-1.48902e-19,-1.48902e-19,-1.48901e-19,1.60323e-13,8.79587e-12,8.96556e-12
3281,6.564e-07,20.7391,68921,1e+08,1.06456e-19,1.06456e-19,1.0646e-19,9.37964e-15,9261,1.25e+07,-1.44204e-19,-1.44204e-19,-1.44203e-19,1.6019e-13,8.796e-12,8.96556e-12
3282,6.566e-07,20.7453,68921,1e+08,1.02422e-19,1.02422e-19,1.02426e-19,9.38565e-15,9261,1.25e+07,-1.39505e-19,-1.39505e-19,-1.39505e-19,1.60062e-13,8.79612e-12,8.96557e-12
3283,6.568e-07,20.7512,68921,1e+08,9.83888e-20,9.83888e-20,9.83928e-20,9.39165e-15,9261,1.25e+07,-1.34807e-19,-1.34807e-19,-1.34807e-19,1.59941e-13,8.79624e-12,8.96557e-12
3284,6.57e-07,20.7578,68921,1e+08,9.43551e-20,9.43551e-20,9.43591e-20,9.39766e-15,9261,1.25e+07,-1.30108e-19,-1.30108e-19,-1.30108e-19,1.59825e-13,8.79635e-12,8.96557e-12
3285,6.572e-07,20.764,68921,1e+08,9.03211e-20,9.03211e-20,9.03251e-20,9.40367e-15,9261,1.25e+07,-1.25409e-19,-1.25409e-19,-1.25409e-19,1.59714e-13,8.79645e-12,8.96557e-12
3286,6.574e-07,20.7701,68921,1e+08,8.62869e-20,8.62869e-20,8.62909e-20,9.40968e-15,9261,1.25e+07,-1.2071e-19,-1.2071e-19,-1.2071e-19,1.5961e-13,8.79655e-12,8.96557e-12
3287,6.576e-07,20.7762,68921,1e+08,8.22526e-20,8.22526e-20,8.22566e-20,9.4157e-15,9261,1.25e+07,-1.16011e-19,-1.16011e-19,-1.1601e-19,1.59511e-13,8.79665e-12,8.96558e-12
3288,6.578e-07,20.7828,68921,1e+08,7.82181e-20,7.82181e-20,7.82221e-20,9.42171e-15,9261,1.25e+07,-1.11311e-19,-1.11311e-19,-1.11311e-19,1.59417e-13,8.79674e-12,8.96558e-12
3289,6.58e-07,20.7888,68921,1e+08,7.41834e-20,7.41834e-20,7.41874e-20,9.42773e-15,9261,1.25e+07,-1.06611e-19,-1.06611e-19,-1.06611e-19,1.5933e-13,8.79683e-12,8.96558e-12
3290,6.582e-07,20.7946,68921,1e+08,7.01486e-20,7.01486e-20,7.01526e-20,9.43375e-15,9261,1.25e+07,-1.01911e-19,-1.01911e-19,-1.01911e-19,1.59248e-13,8.79691e-12,8.96559e-12
3291,6.584e-07,20.8004,68921,1e+08,6.61137e-20,6.61137e-20,6.61177e-20,9.43978e-15,9261,1.25e+07,-9.72113e-20,-9.72113e-20,-9.72108e-20,1.59172e-13,8.79698e-12,8.96559e-12
3292,6.586e-07,20.806,68921,1e+08,6.20787e-20,6.20787e-20,6.20827e-20,9.4458e-15,9261,1.25e+07,-9.2511e-20,-9.2511e-20,-9.25105e-20,1.59102e-13,8.79705e-12,8.9656e-12
3293,6.588e-07,20.8118,68921,1e+08,5.80435e-20,5.80435e-20,5.80475e-20,9.45183e-15,9261,1.25e+07,-8.78106e-20,-8.78106e-20,-8.78101e-20,1.59037e-13,8.79711e-12,8.9656e-12
3294,6.59e-07,20.8176,68921,1e+08,5.40083e-20,5.40083e-20,5.40123e-20,9.45786e-15,9261,1.25e+07,-8.31101e-20,-8.31101e-20,-8.31096e-20,1.58979e-13,8.79717e-12,8.96561e-12
3295,6.592e-07,20.8232,68921,1e+08,4.99729e-20,4.99729e-20,4.99769e-20,9.46389e-15,9261,1.25e+07,-7.84095e-20,-7.84095e-20,-7.8409e-20,1.58926e-13,8.79723e-12,8.96562e-12
3296,6.594e-07,20.8289,68921,1e+08,4.59375e-20,4.59375e-20,4.59415e-20,9.46992e-15,9261,1.25e+07,-7.37087e-20,-7.37087e-20,-7.37082e-20,1.58878e-13,8.79727e-12,8.96562e-12
3297,6.596e-07,20.8345,68921,1e+08,4.19021e-20,4.19021e-20,4.19061e-20,9.47596e-15,9261,1.25e+07,-6.90079e-20,-6.90079e-20,-6.90074e-20,1.58837e-13,8.79732e-12,8.96563e-12
3298,6.598e-07,20.8402,68921,1e+08,3.78666e-20,3.78666e-20,3.78706e-20,9.482e-15,9261,1.25e+07,-6.4307e-20,-6.4307e-20,-6.43065e-20,1.58801e-13,8.79735e-12,8.96564e-12
3299,6.6e-07,20.8459,68921,1e+08,3.3831e-20,3.3831e-20,3.3835e-20,9.48803e-15,9261,1.25e+07,-5.96061e-20,-5.96061e-20,-5.96056e-20,1.58771e-13,8.79738e-12,8.96564e-12
3300,6.602e-07,20.8518,68921,1e+08,2.97955e-20,2.97955e-20,2.97995e-20,9.49408e-15,9261,1.25e+07,-5.49051e-20,-5.49051e-20,-5.49047e-20,1.58747e-13,8.79741e-12,8.96565e-12
3301,6.604e-07,20.8891,68921,1e+08,2.57599e-20,2.57599e-20,2.57639e-20,9.50012e-15,9261,1.25e+07,-5.02042e-20,-5.02042e-20,-5.02037e-20,1.58728e-13,8.79742e-12,8.96565e-12
3302,6.606e-07,20.8968,68921,1e+08,2.17243e-20,2.17243e-20,2.17283e-20,9.50617e-15,9261,1.25e+07,-4.55032e-20,-4.55032e-20,-4.55027e-20,1.58716e-13,8.79744e-12,8.96566e-12
3303,6.608e-07,20.9024,68921,1e+08,1.76887e-20,1.76887e-20,1.76928e-20,9.51221e-15,9261,1.25e+07,-4.08022e-20,-4.08022e-20,-4.08017e-20,1.58709e-13,8.79745e-12,8.96567e-12
